date	key	total	value
1996	AA	156.0	44
1997	AA	173.0	34
1998	AA	197.0	54
1999	AA	182.0	50
2000	AA	220.0	68
2001	AA	222.0	80
2002	AA	261.0	85
2003	AA	267.0	84
2004	AA	251.0	84
2005	AA	283.0	69
2006	AA	267.0	64
2007	AA	305.0	70
2008	AA	329.0	69
2009	AA	350.0	93
2010	AA	375.0	76
2011	AA	406.0	89
2012	AA	366.0	82
2013	AA	332.0	101
2014	AA	270.0	80
2015	AA	310.0	109
2016	AA	321.0	88
1996	AES	156.0	0
1997	AES	173.0	0
1998	AES	197.0	0
1999	AES	182.0	0
2000	AES	220.0	0
2001	AES	222.0	0
2002	AES	261.0	0
2003	AES	267.0	0
2004	AES	251.0	0
2005	AES	283.0	0
2006	AES	267.0	0
2007	AES	305.0	0
2008	AES	329.0	0
2009	AES	350.0	0
2010	AES	375.0	0
2011	AES	406.0	0
2012	AES	366.0	0
2013	AES	332.0	0
2014	AES	270.0	0
2015	AES	310.0	1
2016	AES	321.0	5
1996	AFA	0.0	0
1997	AFA	173.0	0
1998	AFA	197.0	0
1999	AFA	182.0	0
2000	AFA	220.0	0
2001	AFA	222.0	0
2002	AFA	261.0	0
2003	AFA	267.0	0
2004	AFA	251.0	0
2005	AFA	283.0	0
2006	AFA	267.0	0
2007	AFA	305.0	0
2008	AFA	329.0	0
2009	AFA	350.0	1
2010	AFA	375.0	0
2011	AFA	406.0	1
2012	AFA	366.0	2
2013	AFA	332.0	0
2014	AFA	270.0	0
2015	AFA	310.0	2
2016	AFA	321.0	1
1996	AAT	0.0	0
1997	AAT	0.0	0
1998	AAT	0.0	0
1999	AAT	0.0	0
2000	AAT	0.0	0
2001	AAT	0.0	0
2002	AAT	0.0	0
2003	AAT	0.0	0
2004	AAT	0.0	0
2005	AAT	0.0	0
2006	AAT	0.0	0
2007	AAT	0.0	0
2008	AAT	329.0	0
2009	AAT	350.0	0
2010	AAT	375.0	0
2011	AAT	406.0	0
2012	AAT	366.0	0
2013	AAT	332.0	0
2014	AAT	270.0	0
2015	AAT	310.0	0
2016	AAT	321.0	0
1996	AS	156.0	30
1997	AS	173.0	43
1998	AS	197.0	53
1999	AS	182.0	51
2000	AS	220.0	64
2001	AS	222.0	42
2002	AS	261.0	96
2003	AS	267.0	88
2004	AS	251.0	79
2005	AS	283.0	101
2006	AS	267.0	97
2007	AS	305.0	113
2008	AS	329.0	124
2009	AS	350.0	155
2010	AS	375.0	142
2011	AS	406.0	140
2012	AS	366.0	134
2013	AS	332.0	112
2014	AS	270.0	91
2015	AS	310.0	105
2016	AS	321.0	120
1996	AAPS	156.0	82
1997	AAPS	173.0	94
1998	AAPS	197.0	88
1999	AAPS	182.0	78
2000	AAPS	220.0	86
2001	AAPS	222.0	100
2002	AAPS	261.0	80
2003	AAPS	267.0	95
2004	AAPS	251.0	88
2005	AAPS	283.0	111
2006	AAPS	267.0	106
2007	AAPS	305.0	120
2008	AAPS	329.0	136
2009	AAPS	350.0	100
2010	AAPS	375.0	156
2011	AAPS	406.0	176
2012	AAPS	366.0	147
2013	AAPS	332.0	119
2014	AAPS	270.0	99
2015	AAPS	310.0	93
2016	AAPS	321.0	107
1996	AAS	156.0	0
1997	AAS	173.0	0
1998	AAS	197.0	0
1999	AAS	182.0	0
2000	AAS	220.0	0
2001	AAS	222.0	0
2002	AAS	261.0	0
2003	AAS	267.0	0
2004	AAS	251.0	0
2005	AAS	283.0	0
2006	AAS	267.0	0
2007	AAS	305.0	0
2008	AAS	329.0	0
2009	AAS	350.0	0
2010	AAS	375.0	0
2011	AAS	406.0	0
2012	AAS	366.0	0
2013	AAS	332.0	0
2014	AAS	270.0	0
2015	AAS	310.0	0
2016	AAS	321.0	0
1996	AGS	156.0	0
1997	AGS	173.0	2
1998	AGS	197.0	2
1999	AGS	182.0	3
2000	AGS	220.0	2
2001	AGS	222.0	0
2002	AGS	261.0	0
2003	AGS	267.0	0
2004	AGS	251.0	0
2005	AGS	283.0	2
2006	AGS	267.0	0
2007	AGS	305.0	2
2008	AGS	329.0	0
2009	AGS	350.0	1
2010	AGS	375.0	1
2011	AGS	406.0	0
2012	AGS	366.0	1
2013	AGS	332.0	0
2014	AGS	270.0	0
2015	AGS	310.0	0
2016	AGS	321.0	0
