name,line_number,rate_2017
ALSIP,1223,12.978
ARLINGTON HEIGHTS,1266,9.896
BARRINGTON,1314,7.260
BARRINGTON HILLS,1357,7.793
BARTLETT,1389,11.938
BEDFORD PARK,1432,13.384
BELLWOOD,1472,17.757
BENSENVILLE,1506,11.530
BERKELEY,1535,13.301
BERWYN,1569,14.008
BLUE ISLAND,1598,14.934
BRIDGEVIEW,1643,12.968
BROADVIEW,1698,12.701
BROOKFIELD,1731,11.304
BUFFALO GROVE,1780,11.416
BURBANK,1811,11.400
BURNHAM,1853,21.272
BURR RIDGE,1882,6.807
CALUMET CITY,1918,23.949
CALUMET PARK,1952,18.886
CHICAGO HEIGHTS,1982,18.532
CHICAGO RIDGE,2019,12.377
CICERO,2054,15.490
COUNTRY CLUB HILLS,2081,23.726
COUNTRYSIDE,2120,7.507
CRESTWOOD,2155,10.867
DEER PARK,2196,9.803
DEERFIELD,2226,8.272
DES PLAINES,2261,9.807
DIXMOOR,2318,17.316
DOLTON,2345,24.916
EAST DUNDEE,2380,9.654
EAST HAZELCREST,2406,20.062
ELGIN,2432,11.437
ELK GROVE VILLAGE,2466,9.584
ELMHURST,2502,6.618
ELMWOOD PARK,2533,10.596
EVANSTON,2559,9.054
EVERGREEN PARK,2597,12.635
FLOSSMOOR,2625,17.168
FORD HEIGHTS,2659,33.996
FOREST PARK,2689,11.381
FORESTVIEW,2721,13.606
FRANKFORT,2761,12.247
FRANKLIN PARK,2793,13.279
GLENCOE,2832,8.330
GLENVIEW,2870,7.641
GLENWOOD,2976,18.512
GOLF,3012,8.698
HANOVER PARK,3038,12.223
HARVEY,3082,25.269
HARWOOD HEIGHTS,3122,8.878
HAZELCREST,3153,22.011
HICKORY HILLS,3195,11.302
HILLSIDE,3232,13.291
HINSDALE,3268,6.583
HODGKINS,3301,10.685
HOFFMAN ESTATES,3337,10.681
HOMER GLEN,3390,7.905
HOMETOWN,3416,11.700
HOMEWOOD,3443,16.097
INDIAN HEAD PARK,3488,7.885
INVERNESS,3518,8.842
JUSTICE,3573,11.551
KENILWORTH,3608,8.444
LA GRANGE,3636,8.785
LA GRANGE PARK,3674,9.471
LANSING,3712,18.583
LEMONT,3763,7.564
LINCOLNWOOD,3794,9.197
LYNWOOD,3823,13.521
LYONS,3856,12.227
MARKHAM,3896,23.293
MATTESON,3933,17.310
MAYWOOD,3967,20.073
MC COOK,3999,13.989
MELROSE PARK,4038,11.001
MERRIONETTE PARK,4080,11.100
MIDLOTHIAN,4106,13.915
MORTON GROVE,4135,10.563
MT PROSPECT,4176,10.322
NILES,4227,8.762
NORRIDGE,4271,8.511
NORTH LAKE,4307,13.665
NORTH RIVERSIDE,4350,8.937
NORTHBROOK,4385,7.899
NORTHFIELD,4437,7.332
OAK BROOK,4480,6.578
OAK FOREST,4509,13.976
OAK LAWN,4545,11.706
OAK PARK,4583,12.204
OLYMPIA FIELDS,4615,16.705
ORLAND HILLS,4655,9.654
ORLAND PARK,4688,9.122
PALATINE,4734,10.469
PALOS HEIGHTS,4774,9.902
PALOS HILLS,4816,9.864
PALOS PARK,4848,8.273
PARK FOREST,4889,33.619
PARK RIDGE,4921,9.605
PHOENIX,4982,26.390
POSEN,5010,13.446
PROSPECT HEIGHTS,5047,11.260
RICHTON PARK,5104,17.525
RIVER FOREST,5137,9.884
RIVER GROVE,5166,11.903
RIVERDALE,5201,28.760
RIVERSIDE,5237,11.157
ROBBINS,5269,15.081
ROLLING MEADOWS,5307,10.804
ROSELLE,5356,10.207
ROSEMONT,5388,9.873
SAUK VILLAGE,5423,16.147
SCHAUMBURG,5458,10.009
SCHILLER PARK,5511,12.250
SKOKIE,5546,10.184
SOUTH BARRINGTON,5596,7.479
SOUTH CHICAGO HEIGHTS,5652,13.531
SOUTH HOLLAND,5681,18.211
STEGER,5717,11.962
STICKNEY,5746,13.632
STONE PARK,5777,16.788
STREAMWOOD,5806,11.702
SUMMIT,5876,14.954
THORNTON,5914,18.954
TINLEY PARK,5945,12.252
UNIVERSITY PARK,5994,20.470
WESTCHESTER,6020,9.116
WESTERN SPRINGS,6057,7.449
WHEELING,6093,11.863
WILLOW SPRINGS,6130,11.120
WILMETTE,6183,7.784
WINNETKA,6216,7.850
WORTH,6252,13.718
CHICAGO,-1,7.266
