NAME,state,place
Alsip village,17,01010
Arlington Heights village,17,02154
Barrington village,17,03844
Barrington Hills village,17,03883
Bartlett village,17,04013
Bedford Park village,17,04572
Bellwood village,17,04975
Bensenville village,17,05248
Berkeley village,17,05404
Berwyn city,17,05573
Blue Island city,17,06704
Bridgeview village,17,08225
Broadview village,17,08446
Brookfield village,17,08576
Buffalo Grove village,17,09447
Burbank city,17,09642
Burnham village,17,09798
Burr Ridge village,17,09980
Calumet City city,17,10487
Calumet Park village,17,10513
Chicago city,17,14000
Chicago Heights city,17,14026
Chicago Ridge village,17,14065
Cicero town,17,14351
Country Club Hills city,17,16691
Countryside city,17,16873
Crestwood village,17,17497
Deerfield village,17,18992
Deer Park village,17,19083
Des Plaines city,17,19642
Dixmoor village,17,20149
Dolton village,17,20292
East Dundee village,17,21696
East Hazel Crest village,17,21904
Elgin city,17,23074
Elk Grove Village village,17,23256
Elmhurst city,17,23620
Elmwood Park village,17,23724
Evanston city,17,24582
Evergreen Park village,17,24634
Flossmoor village,17,26571
Ford Heights village,17,26710
Forest Park village,17,26935
Forest View village,17,26987
Frankfort village,17,27624
Franklin Park village,17,27702
Glencoe village,17,29652
Glenview village,17,29938
Glenwood village,17,30029
Golf village,17,30328
Hanover Park village,17,32746
Harvey city,17,33383
Harwood Heights village,17,33435
Hazel Crest village,17,33695
Hickory Hills city,17,34514
Hillside village,17,35086
Hinsdale village,17,35307
Hodgkins village,17,35385
Hoffman Estates village,17,35411
Homer Glen village,17,35835
Hometown city,17,35866
Homewood village,17,35879
Indian Head Park village,17,37257
Inverness village,17,37608
Justice village,17,38830
Kenilworth village,17,39519
La Grange village,17,40767
La Grange Park village,17,40793
Lansing village,17,42028
Lemont village,17,42795
Lincolnwood village,17,43744
Lynwood village,17,45421
Lyons village,17,45434
McCook village,17,45564
Markham city,17,47007
Matteson village,17,47540
Maywood village,17,47774
Melrose Park village,17,48242
Merrionette Park village,17,48554
Midlothian village,17,48892
Morton Grove village,17,50647
Mount Prospect village,17,51089
Niles village,17,53000
Norridge village,17,53377
Northbrook village,17,53481
Northfield village,17,53663
Northlake city,17,53871
North Riverside village,17,54144
Oak Brook village,17,54534
Oak Forest city,17,54638
Oak Lawn village,17,54820
Oak Park village,17,54885
Olympia Fields village,17,55938
Orland Hills village,17,56627
Orland Park village,17,56640
Palatine village,17,57225
Palos Heights city,17,57381
Palos Hills city,17,57394
Palos Park village,17,57407
Park Forest village,17,57732
Park Ridge city,17,57875
Phoenix village,17,59572
Posen village,17,61314
Prospect Heights city,17,62016
Richton Park village,17,63706
Riverdale village,17,64278
River Forest village,17,64304
River Grove village,17,64343
Riverside village,17,64421
Robbins village,17,64616
Rolling Meadows city,17,65338
Roselle village,17,65806
Rosemont village,17,65819
Sauk Village village,17,67769
Schaumburg village,17,68003
Schiller Park village,17,68081
Skokie village,17,70122
South Barrington village,17,70564
South Chicago Heights village,17,70629
South Holland village,17,70850
Steger village,17,72520
Stickney village,17,72676
Stone Park village,17,72923
Streamwood village,17,73157
Summit village,17,73638
Thornton village,17,75185
Tinley Park village,17,75484
University Park village,17,76935
Westchester village,17,80047
Western Springs village,17,80242
Wheeling village,17,81087
Willow Springs village,17,82049
Wilmette village,17,82075
Winnetka village,17,82530
Worth village,17,83518
